,townland,town,population,lat,lng
10198,Arryheernabin,Fánaid Thuaidh,13,55.27,-7.640556
10200,Altashane or Cabadooey,Carndonagh,63,,
10201,Attatantee,Machaire Chlochair,7,55.0781001,-8.216983441749054
10204,Aughagault Big,Convoy,64,54.8650347,-7.7346847
10206,Aughnish,Rathmelton,138,55.0391531,-7.608063878143476
10208,Aught,Three Trees,233,55.123938249999995,-7.277726919168671
10210,Avaltygort,Gleneely,51,54.7837007,-7.686292273656484
10212,Backland,Clonleigh South,6,54.8324667,-7.549732021240988
10213,Backlees,Stranorlar,17,,
10215,Ballagh,Malin,35,55.3171588,-7.281846626618396
10216,Ballaghderg,Gortnavern,464,54.9855855,-7.7252095
10217,Ballard,Cill Ghabhlaigh,20,54.8073692,-7.9652757
10218,Balleeghan (ED Greencastle),Greencastle,112,55.2247493,-6.98141340559678
10219,Balleeghan (ED Manorcunningham),Manorcunningham,61,54.9798794,-7.598457504385799
10220,Balleeghan Lower,Carthage,70,55.29885425,-7.223633134184843
10221,Balleeghan Upper,Carthage,92,55.3003147,-7.2360022062214115
10222,Balleelaghan,Malin,40,55.31328875,-7.273294821595837
10223,Ballina,Rosnakill,18,55.19477325,-7.692013784202465
10224,Ballincrick and Ballynabrocky,Fánaid Thuaidh,59,55.25807945,-7.664208628002555
10225,Ballindrait,Clonleigh North,77,54.844167,-7.525833
10226,Ballinlough,Mintiaghs,43,55.21244265,-7.3680116899511
10227,Ballintemple,Na Croisbhealaí,93,55.1220749,-8.092961194096645
10228,Ballintlieve,Mintiaghs,45,55.22178085,-7.396891338477976
10230,Ballintra (Aran Island),Árainn Mhór,89,54.979167,-8.501389
10231,Ballintra (ED Ballintra),Ballintra,115,54.5774828,-8.1251832
10232,Balloor,Fánaid Thuaidh,31,55.0779126,-7.7449482
10234,Ballyannan,Desertegny,67,55.19545095,-7.46272285051888
10235,Ballyara,Killybegs,41,54.6559625,-8.474867494244258
10236,Ballyargus,Redcastle,229,55.166667,-7.166667
10237,Ballyarr,Ballyarr,99,55.02852515,-7.70471169607427
10238,Ballyarr Glebe,Ballyarr,95,55.0343178,-7.7047373542954105
10239,Ballyarrell,Gleneely,58,54.789756049999994,-7.656611368984886
10241,Ballybegly,Newtown Cunningham,67,54.990556,-7.586944
10242,Ballybegly Little,Manorcunningham,39,54.99894435,-7.5735552773199935
10243,Ballybobaneen,Allt na Péiste,32,54.817660200000006,-7.924752073555249
10244,Ballybodonnell,Dunkineely,10,54.62365815,-8.353861873310674
10245,Ballyboe (ED Convoy),Convoy,83,54.856298699999996,-7.655811870727462
10246,Ballyboe (ED Corravaddy),Corravaddy,48,54.9250726,-7.7428806
10247,Ballyboe (ED Creeslough),An Craoslach,19,55.1096562,-7.91772995883175
10248,Ballyboe (ED Cross Roads),Na Croisbhealaí,114,55.146263649999995,-8.048894869642046
10250,Ballyboe (ED Killea),Killea,16,54.988661199999996,-7.421010867669606
10252,Ballyboe (ED Rathmelton),Rathmelton,155,55.04040815,-7.650756767118287
10253,Ballyboe Glencar,Letterkenny Rural,1809,54.9582478,-7.7438219
10256,Ballyboencurragh,Castlewray,35,54.99265655,-7.6785283709444965
10257,Ballybofey,Stranorlar,1506,54.7990639,-7.7819496
10258,Ballybogan,Clonleigh South,28,54.80686105,-7.535709032945443
10259,Ballybokeel,Rathmelton,9,55.0332604,-7.630007415373725
10260,Ballybolauder,Templedouglas,22,54.98029165,-7.845754678762551
10261,Ballybotemple,An Clochán,8,54.8264678,-7.916651776328829
10262,Ballyboyle,Donegal,41,54.6409637,-8.1441356
10263,Ballybrack,Moville,213,,
10264,Ballybrollaghan,Tantallon,116,54.66479975,-8.23160317931162
10265,Ballybulgan,Ballintra,27,54.59221735,-8.137283351469776
10266,Ballybun,Cloghard,107,54.781111,-7.610278
10267,Ballybuninabber,An Tearmann,30,55.048988449999996,-7.884431665937802
10268,Ballycallan,An Cheathrú Chaol,11,55.171564149999995,-7.621703050113645
10269,Ballycharry,Turmone,65,55.26877655,-7.097680270765913
10270,Ballyconnell,Na Croisbhealaí,165,55.1482138,-8.090329971642843
10271,Ballyconnelly (ED Glenalla),Glenalla,33,55.07639925,-7.619882283860723
10272,Ballyconnelly (ED Ballymacool),Ballymacool,51,54.9275261,-7.7876773
10273,Ballycramsy,Malin,19,55.31455875,-7.304939294170547
10274,Ballycroy,Dunkineely,18,54.592592499999995,-8.417550370058231
10275,Ballycushion,Killea,23,54.95199055,-7.501709848917952
10276,Ballydermot,Ballintra,54,54.5830245,-8.06443206545715
10277,Ballydevitt,Donegal,60,54.6761394,-8.1354071
10278,Ballydevitt Beg,Donegal,110,54.6693546,-8.129920585156917
10279,Ballyederlan,Dunkineely,24,54.604167,-8.379167
10280,Ballyederowen,Birdstown,462,55.05590245,-7.390347329184344
10282,Ballygallan,Mín Charraigeach,19,54.9123568,-7.89771027138587
10283,Ballygawley,Killymasny,22,54.8009284,-7.63114
10286,Ballygorman,Ardmalin,81,55.3575,-7.311667
10287,Ballygreen,Rathmelton,16,55.0377974,-7.566218711732663
10288,Ballyhanna,Carrickboy/Ballyshannon Urban,63,54.4977353,-8.176197508435493
10289,Ballyhasky,Castleforward,431,54.99127245,-7.500310493638366
10290,Ballyheerin,Fánaid Thiar,67,55.1961531,-7.7263674
10291,Ballyhiernan,Fánaid Thuaidh,23,55.2396733,-7.712803991307247
10292,Ballyholey Far,Kincraigy,54,54.90878335,-7.58048017860475
10293,Ballyholey Near,Figart,66,54.89161435,-7.575602300351578
10294,Ballyhoorisky,Fánaid Thiar,22,55.245,-7.7425
10295,Ballyhork,Fánaid Thiar,19,55.21039165,-7.735271027334065
10297,Ballykeeran,Kilmacrenan,253,55.02537435,-7.765062198152403
10298,Ballykenny (ED Ardmalin),Ardmalin,8,55.3408265,-7.297985074632287
10299,Ballykenny (ED Glenalla),Glenalla,15,55.0641496,-7.603603813311688
10300,Ballykergan,Allt na Péiste,41,54.803966,-7.956241922669173
10301,Ballykillowen,Laghy,29,54.636637300000004,-8.014507554353978
10302,Ballykinard,Rosnakill,11,55.18616095,-7.678929388754661
10303,BallylaSt. (Raphoe South By),Castlefinn,45,,
10304,Ballylawn (ED Castlecary),Castlecary,61,55.1893437,-7.086883240021473
10305,Ballylawn (ED Manorcunningham),Manorcunningham,81,54.99090295,-7.585381827897763
10306,Ballylennan,Feddyglass,60,54.8891227,-7.5194985
10307,Ballylevin,Manorcunningham,21,54.9882474,-7.5712127
10308,Ballyliffin,Ballyliffin,226,55.2803119,-7.3935529
10309,Ballylin,Rathmelton,31,55.0478691,-7.575731723960665
10310,Ballylosky,Glentogher,915,55.236030799999995,-7.261655829421111
10311,Ballyloughan,Killybegs,79,54.633611,-8.408611
10312,Ballymacahil,Bonnyglen,33,54.68597535,-8.253535714821764
10313,Ballymacarry,Buncrana Rural/Buncrana Urban,1913,55.14443585,-7.441892143340661
10314,Ballymacarry Lower,Buncrana Urban,655,55.124743550000005,-7.45314664962917
10315,Ballymacarthur,Greencastle,203,55.22055865,-7.001199365824318
10316,Ballymacavany,Pettigoe,15,,
10317,Ballymacaward,Ballyshannon Rural,109,54.51467625,-8.240127955707203
10318,Ballymackilduff,Dawros,34,54.82024505,-8.42279155980108
10319,Ballymacmoriarty,Ballyliffin,6,55.2941512,-7.366339874354939
10320,Ballymacool,Ballymacool,833,54.9472497,-7.7640238
10321,Ballymacphadin,Cill Charthaigh,26,54.661432250000004,-8.590913532409566
10323,Ballymagahy North,Grianfort,13,55.2077759,-7.666949657631405
10324,Ballymagahy South,Rosnakill,13,55.197261049999994,-7.669260818496005
10325,Ballymagan Upper and Lower and Clonblosk,Illies,295,55.150026499999996,-7.425878269204208
10326,Ballymagaraghy,Turmone,19,55.2677141,-7.0544073
10327,Ballymagowan,Dunkineely,200,54.63558905,-8.35055540739189
10328,Ballymagowan Lower,An Cheathrú Chaol,39,55.1649345,-7.6764198
10329,Ballymagowan Upper,An Cheathrú Chaol,32,55.16902025,-7.664261612016577
10330,Ballymagrorty,Cavangarden,7,54.55378345,-8.054096867406187
10331,Ballymagrorty Irish,Ballintra,38,54.5556645,-8.141488967224566
10332,Ballymagrorty Scotch,Ballintra,92,54.5658863,-8.13708659428178
10333,Ballymaleel,Castlewray,109,54.9823487,-7.6712385
10335,Ballymichael,Fánaid Thuaidh,20,55.2687949,-7.661968232416177
10337,Ballymoney,Burt,10,55.037778,-7.506944
10338,Ballymoon,An Leargaidh Mhór,10,54.65384,-8.566732765371484
10340,Ballymore Lower,Ards,27,55.1600126,-7.9161171712815115
10341,Ballymore Upper,Ards,24,55.1549611,-7.935184563731331
10342,Ballymunterhiggin,Bundoran Rural,81,54.479113749999996,-8.189154121825434
10343,Ballynabreen,Clonleigh South,61,54.836960899999994,-7.519649512394887
10344,Ballynacarrick (ED Ballintra),Ballintra,63,54.56662315,-8.121760467523487
10345,Ballynacarrick (ED Carrickboy),Carrickboy,35,,
10346,Ballynacor,Gleneely,133,54.7826465,-7.713108643086974
10347,Ballynacraig,Gort an Choirce,70,55.104182550000004,-8.164183674635428
10348,Ballynaglack,Stranorlar,88,54.81611585,-7.79497574154844
10350,Ballynahone (ED Fahan),Fahan,48,55.102291550000004,-7.421269030728963
10351,Ballynakeeloge,Illies,13,55.161497,-7.377457560177026
10352,Ballynakillew Mountain,Ballintra,20,54.5963555,-7.998909715418199
10353,Ballynakilly (ED Inch Island)),Inch Island,32,55.067445899999996,-7.518270534099106
10354,Ballynakilly (ED Templedouglas),Templedouglas,36,54.957237250000006,-7.84368149548825
10355,Ballynally,Moville,965,55.2076882,-7.03746585508263
10356,Ballynalost,Fánaid Thuaidh,5,55.25741985,-7.650687079028719
10357,Ballynaman (ED Cloghan),An Clochán,18,54.8254458,-7.995865735953877
10358,Ballynaman (ED Gleneely),Gleneely,22,54.775987150000006,-7.704821011012491
10359,Ballynarry,Buncrana Rural,91,55.15747935,-7.4778450750548355
10360,Ballynascall,Mín an Lábáin,12,54.97102035,-7.949387823654221
10361,Ballynashannagh,Rosnakill,9,55.179722,-7.643333
10362,Ballynatone,An Clochán,34,54.821949849999996,-7.855445623498968
10363,Ballyness,Na Croisbhealaí,153,55.1520644,-7.7924644
10366,Ballyraine,Letterkenny Rural,960,54.9536413,-7.710742801962253
10367,Ballyrattan,Castlecary,106,55.185341449999996,-7.097514760296063
10368,Ballysaggart,Dunkineely,17,54.594001500000005,-8.39885604130534
10369,Ballyscanlan Lower,Loch Caol,13,55.05883785,-7.744242242603787
10370,Ballyscanlan Upper,Loch Caol,17,55.057628449999996,-7.755311432027959
10372,Balwoges,Corkermore,35,54.682790600000004,-8.359725476397447
10373,Banganboy,An Ghrafaidh,14,54.8231292,-8.169586068939394
10374,Bangort,Cill Ghabhlaigh,9,54.7312456,-8.68627451536635
10377,Barnes Lower,An Tearmann,33,55.073715,-7.825553033247854
10378,Barnes Upper,An Tearmann,15,55.07241485,-7.847745519431404
10381,Barrack,Gortnavern,49,54.9274569,-7.865386
10382,Barrack or Ballymagig,Killymasny,59,,
10383,Baskill,Gleneely,27,55.24412125,-7.188177763626034
10384,Bauville Keeloges and Clonglash,Buncrana Rural,176,55.1325202,-7.39930425891421
10385,Bavan,An Leargaidh Mhór,94,54.6320077,-8.5433542296941
10386,Bayhill,Rathmelton,9,55.0339008,-7.662120623104063
10387,Baylet,Inch Island,24,55.054722,-7.461667
10388,Beagh,Dawros,35,54.7920883,-8.429062579895676
10389,Beaghmore,Gleann Léithín,5,54.8475773,-8.175954843288274
10390,Beaugreen Glebe,Dunkineely,27,54.63206,-8.372908256085715
10391,Beefan,Cill Ghabhlaigh,28,54.71930545,-8.740786959930146
10393,Beefpark,Tantallon,6,54.64307505,-8.176588323718239
10395,Behy,Ballyshannon Rural,48,54.5190216,-8.123849513663593
10396,Belalt,Cloghard,33,54.543333,-7.889722
10397,Belalt North,Templecarn,17,54.5587893,-7.914409417803744
10398,Belalt South,Templecarn,9,54.54353925,-7.925908500404274
10399,Belcruit,Inis Mhic an Doirn,219,55.01235465,-8.386961576682147
10400,Bellaganny,Gleann Gheis,5,54.7653785,-8.465460539081324
10401,Bellanamore,Baile na Finne,50,54.869167,-8.055556
10402,Bellanascaddan,Edenacarnan,89,54.99112855,-7.751810877521754
10403,Bellina,Na Croisbhealaí,335,55.130819,-8.107514067593694
10405,Beltany,Raphoe,60,54.844560349999995,-7.613295000849121
10406,Beltany Lower,Dún Lúiche,92,55.1053012,-8.1346351
10407,Beltany Mountain,Dún Lúiche,39,55.042919,-8.127943852794292
10408,Beltany Upper,Dún Lúiche,53,55.0981549,-8.1349121
10411,Billary,Pettigoe,22,54.546146949999994,-7.8422817258574105
10413,Bindoo,Allt na Péiste,26,54.8225011,-7.958169348347654
10416,Binnion (ED St. Johnstown),St. Johnstown,10,54.9017342,-7.498930456449299
10417,Binnion (ED Straid),Straid,56,55.2785585,-7.427964625060872
10418,Binroe,Killybegs,66,54.63121475,-8.420827634238403
10419,Birchhill,Clogher,72,54.6760419,-8.037421215128587
10420,Bircog,Pettigoe,49,54.556571399999996,-7.834277883311173
10421,Birdstown,Clonleigh South,31,,
10423,Birra,Ballintra,10,54.569525299999995,-8.174169031134685
10426,Blackrepentance,Castlefinn,7,54.8385513,-7.665530594102645
10427,Blackrock,Clonleigh North,10,,
10428,Blacks Glen,Rathmelton,11,55.0509348,-7.661815862777777
10429,Blairstown,Killygordon,31,54.8049465,-7.6243647
10430,Blanket Nook (Raphoe North By),Castleforward,17,,
10433,Bogagh,Raphoe,14,54.665,-8.613889
10434,Bogagh Glebe,Cill Charthaigh,33,54.66108785,-8.612265462867686
10435,Bogay,Castlewray,59,54.994444,-7.431111
10436,Bogay Glebe,Castleforward,12,54.998900899999995,-7.446722084185814
10438,Bohanboy,Killygordon,11,54.81563415,-7.684032373113295
10439,Boheolan,Templedouglas,23,55.007635300000004,-7.862146989029846
10440,Bohirril,Gortnavern,61,55.00199665,-7.705339100180652
10441,Bohirril Park,Gortnavern,19,55.0096907,-7.709710342202463
10442,Bohullion Lower,Burt,87,55.0138035,-7.4778043
10443,Bohullion Upper,Burt,43,55.01400805,-7.4551802375329945
10444,Bomany,Ballymacool,181,55.1385216,-7.4137028
10445,Bonnyglen,Bonnyglen,11,54.663056,-8.257778
10446,Booragh,Rathmelton,23,55.00615445,-7.689918242740923
10448,Boyagh,Clonleigh North,28,54.8763932,-7.473112934434791
10449,Boyoughter,Leitir Mhic an Bhaird,100,54.8680633,-8.2936542
10451,Braade (ED Annagary),Anagaire,93,55.0408976,-8.34219213441062
10452,Braade (ED Clonleigh North),Clonleigh North,32,54.857193699999996,-7.487943389841847
10453,Braade Upper,Gleann Cholm Cille,15,54.7072759,-8.6648548910816
10454,Bracky,Gleann Gheis,47,54.751647399999996,-8.431221058372753
10455,Braehead,Figart,24,54.8732036,-7.620847707823531
10456,Bready,Killea,22,54.96079985,-7.483720685163016
10457,Breaghy (ED Ards),Ards,45,55.182661,-7.919143146680829
10458,Breaghy (ED Castlefinn),Castlefinn,14,54.819491400000004,-7.599196187098863
10459,Breaghy (ED Rathmelton),Rathmelton,29,55.0178348,-7.669374652021464
10460,Bredagh Glen,Moville,246,55.2166461,-7.064082748444296
10461,Bree,Ardmalin,79,55.347222,-7.306389
10462,Breen,Convoy,13,54.8794569,-7.758182475441469
10463,Breenagh,Suí Corr,42,54.931389,-7.907222
10464,Brenter,Inver,51,54.63923615,-8.335761742486683
10465,Bridge End or Drummonaghan,Rathmelton,169,55.036446,-7.6619579
