,townland,town,population,lat,lng
10575,Carricknagore,Killybegs,83,54.649848,-8.412672
10576,Carricknahorna,Cavangarden,48,,
10577,Carricknamanna,Killygordon,109,54.8073088,-7.6976510992376115
10578,Carricknamart,Kincraigy,67,54.9179599,-7.613472583765967
10579,Carricknamoghil,Killybegs,65,54.6730338,-8.429813186505397
10580,Carricknashane,Killygordon,62,54.8059272,-7.639698302471433
10582,Carrickrory,Pettigoe,4,54.56046875,-7.869547088013073
10583,Carrickshandrum,Gleneely,42,54.796283,-7.721395569363433
10584,Carrickybressil,Millford,8,,
10586,Carrigans,Killea,165,54.9509259,-7.4294746
10587,Carroghill,Mintiaghs,40,55.2016368,-7.384273229589228
10588,Carrontlieve,Fahan,277,,
10589,Carrowbeg,Turmone,16,55.259763199999995,-7.052420835435633
10590,Carrowblagh (ED Glentogher),Glentogher,131,55.2034175,-7.2812216999999935
10591,Carrowblagh (ED Turmone),Turmone,12,55.245202199999994,-7.110336026607559
10592,Carrowblagh or Leckemy,Turmone,33,55.245202199999994,-7.110336026607559
10593,Carrowcanon,Na Croisbhealaí,147,55.14523455,-8.078173802407463
10594,Carrowcashel,Rathmelton,21,55.0123377,-7.619086229245399
10595,Carrowen,Burt,48,55.030556,-7.4975
10596,Carrowhugh,Greencastle,97,55.22837955,-6.966401284112148
10597,Carrowkeel (ED Carrowkeel),An Cheathrú Chaol,198,55.1373255,-7.6663937
10598,Carrowkeel (ED Whitecastle),Whitecastle,218,55.126730699999996,-7.198558167897889
10599,Carrowkeel Glebe,Grianfort,12,55.215282,-7.689991872498203
10600,Carrowmenagh,Turmone,51,55.2599766,-7.0695981
10601,Carrowmore (ED Gleneely),Gleneely,120,55.2471532,-7.2031103245318135
10602,Carrowmore (ED Malin),Malin,141,55.310061399999995,-7.2572400422168135
10603,Carrowmore or Glentogher,Glentogher,73,55.17851435,-7.2579669841421595
10604,Carrowmullin,Fahan,76,55.09230325,-7.4577459759393205
10605,Carrownaff,Castlecary,119,55.1852631,-7.059243870726345
10606,Carrownaganonagh,Loch Caol,29,55.0835989,-7.772226900308503
10607,Carrownamaddy (ED Burt),Burt,94,55.03736995,-7.423168856203392
10608,Carrownamaddy (ED Creenasmear),Críoch na Sméar,31,55.1318699,-7.970595727820115
10609,Carrownasaul,Loch Caol,22,55.067789,-7.779498009418605
10610,Carrowreagh (ED Burt),Burt,135,55.024915,-7.414412701740884
10611,Carrowreagh (ED Gleneganon),Glennagannon,192,55.22054375,-7.236504122154146
10612,Carrowreagh (ED Knockalla),Cnoc Colbha,14,55.15306355,-7.593032804159298
10613,Carrowreagh or Craignacally,Ballyliffin,68,,
10614,Carrowtrasna (ED Gartan),Gartán,25,55.020328500000005,-7.904984875793607
10615,Carrowtrasna (ED Greencastle),Greencastle,74,55.235287650000004,-6.959279684721404
10616,Carryblagh,Grianfort,27,55.223611,-7.623056
10617,Carrygally,Corravaddy,70,54.93167165,-7.720278195061505
10618,Carrygalt,Rathmelton,9,55.025609,-7.598121700069306
10619,Carthage,Carthage,181,,
10620,Casey Glebe,Dún Fionnachaidh,39,55.16705195,-7.965393361865577
10622,Cashel (ED Ballyshannon Rural),Ballyshannon Rural,67,54.536944,-8.201944
10623,Cashel (ED Doe Castle),Caisleán na dTuath,52,55.1350477,-7.864141830945714
10624,Cashel (ED Dunlewy),Dún Lúiche,73,55.11291325,-8.13134010039915
10625,Cashel (ED Gleneely),Gleneely,78,55.259313,-7.212301686724226
10626,Cashel (ED Glentogher),Glentogher,65,55.223333,-7.274444
10627,Cashel (ED Malinbeg),Málainn Bhig,116,54.6938561,-8.717959258557043
10628,Cashel (ED Mulmosog),Maol Mosóg,30,54.737222,-8.420556
10629,Cashel Glebe,Fánaid Thiar,18,55.23455105,-7.73995596089095
10630,Cashelard,Cliff,186,54.52054445,-8.082464025
10631,Cashelcarn,Cill Charthaigh,45,54.64222585,-8.585502107417465
10632,Cashelcummin,Killybegs,55,54.639431200000004,-8.449431353811569
10633,Casheleenan,Loch Caol,36,55.06713245,-7.7984852274223115
10634,Cashelenny,Grousehall,8,54.61336945,-7.7329672054464496
10635,Cashelfean,Dunkineely,29,54.63884175,-8.357951409658657
10636,Cashelgay,Edenacarnan,43,55.0040635,-7.75841930298021
10637,Cashelgolan,Maas,24,54.8407679,-8.4065876
10638,Cashelin,Cloghard,10,54.7781404,-7.625003114863049
10639,Cashellackan,Ballyshannon Rural,26,54.526111,-8.196667
10640,Cashelmore,Ards,87,55.2160727,-7.731683
10641,Cashelnagor,Dún Lúiche,73,55.0866642,-8.1274161
10644,Casheloogary,Inver,56,54.6836486,-8.302211326304445
10645,Cashelpreaghan,Grianfort,14,55.21294125,-7.658072837339779
10646,Cashelreagh,Templedouglas,29,54.94565335,-7.865009275226782
10647,Cashelreagh Glebe,Killybegs,42,54.652275450000005,-8.396695113019128
10648,Cashelshanaghan,Castlewray,189,,
10649,Casheltown (ED Corkemore),Corkermore,37,,
10653,Castlebane (ED Dunfanaghy),Dún Fionnachaidh,15,55.167802949999995,-8.003290005035977
10654,Castlebane (ED Stranorlar),Stranorlar,25,54.81364485,-7.744823274775218
10655,Castleblaugh,Newtown Cunningham,40,54.96455985,-7.553929084136213
10656,Castlecooly,Burt,55,55.0255727,-7.470586891677361
10657,Castledoe,Caisleán na dTuath,44,55.136001750000005,-7.870205658545988
10658,Castledowey,Treantaghmucklagh,95,54.922141,-7.5639806
10659,Castlefinn,Castlefinn,186,54.8033847,-7.5931697
10660,Castleforward Demesne,Castleforward,79,54.999803,-7.4926263
10661,Castlequarter (ED Fahan),Fahan,4,55.0762112,-7.4447441232725975
10662,Castlequarter (ED Inch Island),Inch Island,36,55.0547859,-7.4965209
10663,Castlethird,Killea,54,54.9516215,-7.478581778878596
10665,Castletown,St. Johnstown,34,,
10666,Castlewray,Castlewray,36,54.9802707,-7.6559873
10667,Castruse,Killea,19,54.99610965,-7.422555721278393
10669,Cavan (ED Clonleigh North),Clonleigh North,65,54.86273135,-7.503206263345401
10670,Cavan (ED Dunkineely),Dunkineely,14,54.61680645,-8.360227196510298
10671,Cavan Lower,Killygordon,77,54.8054303,-7.71892211818276
10672,Cavan Upper,Killygordon,57,54.82133745,-7.7048510888846025
10673,Cavanacaw,St. Johnstown,47,54.8932667,-7.486916924536965
10674,Cavanacor,Clonleigh North,5,54.84865245,-7.515162775189957
10675,Cavanaweery,Urney West,16,54.791194700000005,-7.580964808491372
10676,Cavangarden,Cavangarden,75,54.530556,-8.141111
10677,Cherrymount,Carrickboy,18,,
10678,Church Hill,Mín an Lábáin,77,,
10679,Churchland Quarters,Carndonagh,1919,,
10680,Churchtown (ED Clonleigh South),Clonleigh South,7,54.8088743,-7.5304082
10681,Churchtown (ED Gartan),Gartán,16,55.017237800000004,-7.923751062626756
10683,Claggan (ED Dunfanaghy),Dún Fionnachaidh,44,55.2030191,-7.9915304
10684,Claggan (ED Greenfort),Grianfort,13,55.20867505,-7.639419734249005
10685,Claggan (ED Millford),Millford,17,55.0965369,-7.669854244467744
10690,Claggan South,Mín an Lábáin,21,54.97991125,-7.933668697525045
10691,Clanboorhin,Donegal,30,54.6785771,-8.141482509069286
10692,Claragh,Ballyarr,9,55.3021986,-7.335171
10693,Clarcam,Clogher,65,54.66623165,-8.053605282456175
10694,Clarcarricknagun,Donegal,49,54.6580655,-8.07748841144798
10696,Clardrumnagahan,Clogher,12,54.67489845,-8.06587593696435
10697,Clare,Castlecary,140,,
10698,Clarlougheask,Clogher,33,54.6791377,-8.05149723127803
10699,Clashygowan,St. Johnstown,13,54.941241000000005,-7.485499666729199
10700,Cleenagh,Illies,70,55.150609349999996,-7.411190041299729
10701,Cleenderry,An Machaire,26,54.9252625,-8.416511785
10702,Cleengort,Na Gleannta,19,54.84814935,-8.287899555156546
10703,Clehagh,Straid,195,55.2700078,-7.4375101
10704,Cloghan,Cill Ghabhlaigh,5,54.8420105,-7.9360755
10705,Cloghan Beg,An Clochán,88,54.842537050000004,-7.9308859762070085
10706,Cloghan More,An Clochán,32,54.8341681,-7.921205154551366
10708,Cloghbolie (ED Ballyshannon Rural),Ballyshannon Rural,39,54.53236015,-8.2458777071875
10709,Cloghbolie (ED Maghery),An Machaire,16,54.8928481,-8.3042114
10710,Cloghboy,Gleann Gheis,50,54.775,-8.492778
10711,Cloghcor (Aran Island),Árainn Mhór,21,54.9766908,-8.4924033
10712,Clogher,Clogher,134,54.837222,-8.425556
10714,Clogher West,Maas,26,54.833699499999994,-8.424160369284145
10716,Clogheravaddy,Bonnyglen,15,54.711497949999995,-8.271529751582683
10718,Clogherdillure,Inis Mhic an Doirn,12,54.9909875,-8.418242006569766
10722,Cloghfin (ED Castlefinn),Castlefinn,48,54.794167,-7.551944
10723,Cloghfin (ED Clonleigh North),Clonleigh North,49,54.843889,-7.576111
10724,Cloghfin (ED Killea),Killea,89,54.9464502,-7.44206788699555
10726,Cloghglass,Inis Mhic an Doirn,45,55.0834152,-7.7404329
10727,Cloghgore,Convoy,9,54.87516915,-7.68728401328036
10728,Cloghore,Carrickboy,67,54.483333,-8.1
10729,Cloghroe (ED Edenacarnan),Edenacarnan,18,55.0099359,-7.782736316968076
10730,Cloghroe (ED Lettermore),Lettermore,102,54.851389,-7.777778
10731,Clonbara,Na Croisbhealaí,60,,
10732,Clonbeg Glebe,An Craoslach,20,55.1365135,-7.909222984487501
10733,Clonca,Culdaff,65,55.27072605,-7.180657636730585
10734,Cloncarney,Templedouglas,61,55.0128194,-7.847974423373622
10735,Clonclayagh,An Clochán,34,54.834657199999995,-7.94325899727715
10736,Clonconwal,Ard an Rátha,17,54.77893185,-8.370036134388915
10737,Clondallan,Rathmullan,30,55.1297215,-7.53669563907394
10740,Clonkilly More,Kilmacrenan,43,55.035363000000004,-7.804245207183207
10741,Clonmany Glebe,Straid,75,55.2377051,-7.424356480174564
10742,Clonmass,Ards,35,55.16842095,-7.896831204788986
10743,Clonmore,Ards,23,,
10744,Clontallagh,Ros Goill,31,55.212024850000006,-7.820088930347271
10745,Clontyseer,Carrickboy,25,54.4769788,-8.159172066182082
10746,Cloon,Castleforward,19,54.9707813,-7.4460201
10747,Cloonarrell,Gleneely,15,54.777369300000004,-7.659982432246243
10748,Clooney (ED Maas),Maas,35,54.839167,-8.409444
10749,Clooney (ED Rathmelton),Rathmelton,74,55.054722,-7.638056
10750,Clooney and Gortnamona,Fánaid Thiar,7,55.20269355,-7.731971026843761
10752,Cloontagh,Ballyliffin,404,55.2472152,-7.3675977
10755,Coguish,Cró Chaorach,17,54.67814815,-8.57090641788815
10756,Colehill,Castleforward,320,55.00164275,-7.507486416289449
10757,Commeen (ED Cloghan),An Clochán,55,54.819167,-7.975278
10758,Commeen (ED Doocharry),An Dúchoraidh,14,54.948333,-8.128333
10759,Common (ED Figart),Figart,69,54.88868645,-7.610713516979103
10760,Common (ED Glengesh),Gleann Gheis,35,54.7431775,-8.429478943139433
10764,Coneyburrow,Clonleigh South,239,54.8261361,-7.489155375212416
10765,Connaghkinnagoe,Illies,43,55.166292,-7.364707451544849
10766,Contycro,Málainn Bhig,14,54.70100585,-8.69929221368379
10767,Convoy Demesne,Convoy,34,54.8615858,-7.693493208542074
10768,Convoy Townparks,Convoy,652,54.86241305,-7.669696036146917
10769,Conwal,Ballymacool,86,54.9406474,-7.780968
10770,Cool Beg,Ballyshannon Rural,19,,
10772,Cool More,Ballyshannon Rural,24,54.54157325,-8.212552805411438
10773,Cool Upper,Creamhghort,49,55.12223365,-7.725111998177885
10774,Cooladawson,Killygordon,21,54.8120192,-7.723658787428297
10775,Cooladerry (ED Fanad North),Fánaid Thuaidh,29,55.25875565,-7.676945184633742
10776,Cooladerry (ED Raphoe),Raphoe,29,54.861623800000004,-7.602083803196095
10778,Coolaghy,Feddyglass,11,54.8648318,-7.5714815
10780,Coolatee,Clonleigh North,71,54.85086939999999,-7.475639291033341
10781,Coolback,Grianfort,6,55.229609499999995,-7.691774780940619
10782,Coolboy Big,Gortnavern,144,55.0045683,-7.742885863431116
10783,Coolboy Little,Gortnavern,20,54.9959866,-7.7382309
10784,Coolcholly,Ballyshannon Rural/Ballyshannon Urban,336,54.50829115,-8.191851888819563
10785,Coolshangan,Inver,64,54.6537305,-8.296447502066423
10786,Coolvoy,Gleann Léithín,18,54.9006342,-8.193392401305493
10787,Cooly,Castlecary,67,55.204588099999995,-7.097982534544198
10788,Coolyslin,Urney West,74,54.7873779,-7.5896273
10789,Copany,Tullynaught,50,54.647588049999996,-8.033252281029597
10790,Cor,Leitir Mhic an Bhaird,18,,
10791,Corcam,Killygordon,6,54.806389,-7.7225
10792,Corcashy,Convoy,13,54.83597075,-7.711596080054095
10793,Corcreggan,Dún Fionnachaidh,27,55.166139799999996,-7.995237589384492
10794,Corcullion,Castlefinn,22,54.80661635,-7.580047347373602
10795,Corderry,Mín an Lábáin,26,54.975,-7.937778
10797,Corgary,Knock,170,54.77358255,-7.790175950868658
10800,Corker More,Corkermore,28,54.70568085,-8.357855210632184
10801,Corkey,Kincraigy,94,54.932488899999996,-7.637188380557061
10802,Corlacky,An Clochán,46,54.82814525,-7.8896795824818975
10803,Corlea (ED Cliff),Cliff,40,54.49576815,-8.095314950953291
10806,Cormakilly,Urney West,8,54.779167,-7.588611
10807,Cormullin,Laghy,29,54.62263245,-8.029590490293543
10808,Cornabrogue,Gleneely,13,54.753333,-7.688611
10810,Cornagill,Castlewray,108,54.9669007,-7.6717608
10811,Cornagillagh,Convoy,15,54.885519599999995,-7.67290521511841
10813,Cornagullion,Mín an Lábáin,14,54.959684499999995,-7.949133382462962
10815,Corncamble,Castleforward,5,54.975625699999995,-7.467296784587573
10816,Corporation,Killybegs,585,54.6474467,-8.432625006453488
10817,Corracramph,Tawnawully,11,54.71646645,-8.026986380922397
10818,Corradooey (ED Convoy),Convoy,20,54.829929750000005,-7.6906066082913505
10819,Corradooey (ED Gleneely),Gleneely,29,54.74032149999999,-7.693033663497204
10820,Corraffrin,Knock,70,54.770833,-7.771111
10821,Corraine,Allt na Péiste,67,54.791412750000006,-7.8749902883926
10822,Corranagh,Magheraboy,191,54.9238749,-7.7097863
10823,Corraness Glebe,Ard an Rátha,7,,
10825,Corry,Grianfort,21,55.2185994,-7.64928954397131
10826,Corveen (ED Clogher),Clogher,43,54.68444745,-8.041057685389456
10827,Corveen (ED Meenaclady),Mín an Chladaigh,6,,
10829,Cottian,Kilmacrenan,17,55.0195841,-7.8015531
10830,Cottown,Raphoe,8,54.838300399999994,-7.596637079681839
10831,Court,Loch Caol,30,,
10833,Coxtown,Ballintra,23,54.5988133,-8.1080425
10834,Craghy (ED Dunglow),An Clochán Liath,21,54.94667925,-8.31032801657868
10836,Craig (ED Creeslough),An Craoslach,15,55.100528249999996,-7.923366288352986
10837,Craig (ED Kilderry),Kilderry,237,55.05703165,-7.286825048181248
10839,Craigmaddyroe Far,Rathmullan,40,55.08883185,-7.5889230278358655
10842,Craigs (ED Figart),Figart,8,54.883454799999996,-7.596289189762703
10843,Craigtown (ED Cross Roads),Na Croisbhealaí,23,55.120361149999994,-8.101291660170045
10844,Craigtown (ED Fahan),Fahan,23,55.086871200000004,-7.44039996948777
10845,Cranford,Creamhghort,138,55.143889,-7.696389
10846,Crannogeboy,Gleann Gheis,47,54.770833,-8.469167
10847,Cranny Lower,Bonnyglen,106,54.6535636,-8.270243940988067
10849,Cratlagh,Millford,67,55.101515,-7.731783691087999
10850,Creaghadoos,Feddyglass,113,54.886668,-7.4934832
10851,Creatland,St. Johnstown,44,54.8995965,-7.48560000859562
10852,Creehennan,Whitecastle,51,55.1420915,-7.1876536
10854,Creenasmear,Críoch na Sméar,14,55.112237750000006,-7.962362933607052
10856,Creeslough,An Craoslach,300,55.1222693,-7.9084618
10857,Creevagh,Glen,24,55.138889,-7.852222
10858,Creeve,Castleforward,31,54.938954,-7.7516569
10859,Creeve (Smith),Ballymacool,576,54.93784305,-7.749667896193777
10860,Creeve Glebe,Ballymacool,89,54.93562935,-7.762083534239975
10861,Creeveoughter,Cnoc Colbha,38,55.13973405,-7.599537950443267
10862,Creevins,Tantallon,36,54.61929755,-8.283550967248065
10863,Creevy,Ballyshannon Rural,157,54.5311329,-8.2472469
10864,Creggan (ED Figart),Figart,19,54.880104849999995,-7.643630084501057
10865,Creggan (ED Stranorlar),Stranorlar,126,54.8156221,-7.8046635
10866,Crevary Lower,Rathmullan,20,55.08992925,-7.572829579247481
10867,Crevary Upper,Rathmullan,35,55.09567465000001,-7.566947018750003
10869,Crislaghkeel,Fahan,39,55.0812406,-7.4223569
10870,Crislaghmore,Fahan,108,55.07718275,-7.413106583011961
10871,Croagh (ED Corkemore),Corkermore,34,,
10874,Croaghan (ED Clonleigh South),Clonleigh South,8,54.8266211,-7.542979304037611
10875,Croaghan (ED Rathmelton),Rathmelton,62,55.02994285,-7.591842400505748
10876,Croaghan (ED Rosnakill),Rosnakill,19,55.2127342,-7.6985979013920645
10878,Croaghbeg,An Leargaidh Mhór,22,54.6246809,-8.5619947
10881,Croaghlin (ED Glencolumbkille),Gleann Cholm Cille,18,54.6242988,-8.667498293888242
10882,Croaghlin (ED Killybegs),Killybegs,58,54.650176349999995,-8.441621524990005
10886,Croaghnashallog,An Clochán Liath,120,54.9339391,-8.3493022
10888,Croaghross,Grianfort,33,55.210745700000004,-7.623440834133614
10895,Crockglass,Whitecastle,31,55.1407843,-7.9613803
10898,Crocknagapple,Maol Mosóg,6,54.733333,-8.335278
10899,Crocknageeragh,An Clochán Liath,102,55.2324798,-7.6409082
10900,Crocknamurleog,Ros Goill,99,55.19989015,-7.8423146354689575
10901,Crockraw,Mín an Lábáin,15,54.978506499999995,-7.918234158649481
10902,Crohy,An Machaire,70,54.911944,-8.441944
10903,Crohyboyle,An Clochán Liath,31,54.9772946,-8.3099617
10905,Crolly,Machaire Chlochair,119,55.01446345,-8.243992919097469
10908,Cronaguiggy,Machaire Chlochair,35,,
10910,Cronalaghy,Gleneely,34,54.7378217,-7.733753
10913,Cronkeeran,Maol Mosóg,42,54.747222,-8.376667
10914,Cross (ED Killea),Killea,24,54.955278,-7.486944
10915,Cross (ED Whitecastle),Whitecastle,28,55.1548002,-7.230114396660308
10916,Crossconnell,Dunaff,51,55.2746517,-7.443347734604659
10917,Crossogs,Killymasny,19,54.929669000000004,-7.8929590285856595
10919,Crovehy,Cró Bheithe,57,54.963539,-8.290805682452167
10920,Crowanrudda,Cró Chaorach,8,54.6745023,-8.537117643020947
10924,Croweighter,Cró Chaorach,19,54.701727149999996,-8.580176311617507
10925,Crowkeeragh,Cró Chaorach,8,54.669722,-8.567778
10926,Crowlar,Cró Chaorach,18,54.7033438,-8.54849037696145
10927,Crownasillagh,An Leargaidh Mhór,8,54.652553600000005,-8.536307096622952
10928,Cruickaghmore,Inis Mhic an Doirn,66,54.978443150000004,-8.396011432654989
10929,Cruit Lower,Inis Mhic an Doirn,10,55.03915025,-8.421320534463524
10930,Cruit Upper,Inis Mhic an Doirn,50,55.02224185,-8.414757791504865
10931,Crumlin (ED Glengesh),Gleann Gheis,39,54.760556,-8.455556
10933,Cuilly,Tullynaught,21,54.6406722,-8.046979290195331
10934,Culdaff,Culdaff,85,55.2869665,-7.166544
10935,Culdaff Glebe,Culdaff,13,55.28699415,-7.134123527519597
10936,Culineen,Redcastle,90,55.16514545,-7.1484494506164395
10938,Cullion (ED Corravaddy),Corravaddy,80,54.9354379,-7.712438907415928
10940,Cullion (ED Lettermacaward),Leitir Mhic an Bhaird,19,54.844279,-8.334483743855785
10942,Cullionboy,Clogher,53,54.685793450000006,-7.968318552308146
10943,Culoort,Ardmalin,62,55.349444,-7.345
10945,Cunlin,Killybegs,21,54.660128099999994,-8.44508142896719
10946,Curragh,Corravaddy,22,,
10947,Curraghafeaghan,Tieveskeelta,15,54.672140150000004,-8.397998579313423
10948,Curraghalane,Clonleigh South,251,54.82397975,-7.499355372072802
10950,Curraghlea,Gortnavern,66,54.9792116,-7.6899368
10951,Curraghomongan,Stranorlar,198,54.8172721,-7.8421753
10952,Currin,An Tearmann,84,55.05083925,-7.827737196883788
10953,Currynanerriagh,Gleann Léithín,30,54.8578775,-8.165201026369369
10954,Cuskry Glebe,Cill Charthaigh,12,,
10955,Cuttymanhill,St. Johnstown,13,54.902219099999996,-7.461398668454804
10958,Dargan,Grianfort,8,55.20820035,-7.662792521483358
10959,Darney,Dunkineely,77,54.6382265,-8.376258759958663
10961,Deenystown,Castlewray,40,54.9812335,-7.668587575698815
10962,Deer Park West,Castleforward,12,55.003788650000004,-7.481409421775507
10964,Demesne,Cloghard,43,54.7956944,-7.59906798831023
10968,Dernacally,Killea,11,54.9486116,-7.461522
10969,Derries (ED Cavangarden),Cavangarden,58,54.564928800000004,-8.061057881477225
10970,Derries (ED Glenties),Na Gleannta,76,54.7766406,-8.29114909643826
10971,Derriscligh,An Tearmann,35,55.0900258,-7.84651474681461
10972,Derrora,Templedouglas,74,54.961749999999995,-7.904109159521408
10973,Derryart,Ards,26,55.14783885,-7.93218925561464
10975,Derrybeg (ED Magheraclogher),Machaire Chlochair,118,55.0782111,-8.2891221
10976,Derrycassan,Ros Goill,45,55.20696875,-7.85359060997334
10977,Derryconor,Gort an Choirce,161,55.1175803,-8.199844848324314
10978,Derrydruel Lower,An Machaire,5,54.909057250000004,-8.366598700666977
10979,Derrydruel Upper,An Machaire,33,54.9109702,-8.344310247380488
10980,Derryfad,Caisleán na dTuath,6,55.0962955,-7.8742643070858085
10981,Derryharriff Glebe,An Craoslach,38,55.13472795,-7.932662651505554
10982,Derryhirk,Bonnyglen,6,54.668181000000004,-8.252741349668657
10983,Derrykillew,Cliff,28,54.49721195,-8.056711554231052
10985,Derrylahan (ED Kilcar),Cill Charthaigh,98,54.640278,-8.628889
10986,Derryleconnell Far,Leitir Mhic an Bhaird,24,54.90889525,-8.245436567850508
10987,Derryleconnell Near,Leitir Mhic an Bhaird,27,54.9022607,-8.263747674686112
10990,Derrynacarrow,An Dúchoraidh,58,54.913497750000005,-8.226299205432191
10992,Derrynagrial,An Dúchoraidh,6,54.9235597,-8.212040935064543
10993,Derrynamansher,Anagaire,35,55.0365257,-8.281369687740575
10994,Derrynanaspol,An Dúchoraidh,10,54.94207685,-8.198618811615415
10995,Derryness,Dawros,23,54.786667,-8.443056
10996,Derryreel,Na Croisbhealaí,137,55.13932955,-8.008939029918075
10997,Derryvane,Kilderry,98,55.05526535,-7.31824404293563
10999,Devlin or Barr of Ballyconnell,Na Croisbhealaí,10,,
11000,Devlinmore,Creamhghort,50,55.1610708,-7.711096629629029
11001,Devlinreagh,Creamhghort,81,55.16748705,-7.733532247651144
11004,Doagh,Ros Goill,19,55.22205615,-7.850185575849408
11005,Doagh Beg,Fánaid Thuaidh,55,55.250833,-7.624444
11006,Doagh More,Fánaid Thiar,31,55.22205945,-7.765868090014369
11007,Doaghcrabbin,Fánaid Thuaidh,12,55.23019205,-7.610457620863547
11008,Donaghmore Glebe,Castlefinn,16,54.80825725,-7.609204557906377
11009,Donegal,Donegal,473,54.92075415,-7.95238521465131
11010,Dooballagh,Magheraboy,84,54.9076222,-7.7047117
11011,Doobally,Ballyshannon Rural,11,54.50501415,-8.120950950250311
11014,Doocashel Glebe,Ards,44,55.14811075,-7.907709341992495
11015,Doochill North,Ard an Rátha,51,54.768641099999996,-8.387470705721658
11017,Dooey (ED Kilgoly),Cill Ghabhlaigh,14,54.704919849999996,-8.741109840113154
11018,Dooey (ED Lettermacaward),Leitir Mhic an Bhaird,68,54.8690959,-8.3702097
11019,Dooghan,Castlefinn,14,54.825453,-7.604161
11020,Dooish (ED Dooish),Dooish,234,54.7969547,-7.849494864461568
11021,Dooish (ED Treantamucklagh),Treantaghmucklagh,51,,
11022,Doon,An Tearmann,39,,
11023,Doon Glebe,Ballymacool,186,54.9416927,-7.8293296
11024,Doonalt,Cill Ghabhlaigh,27,54.706389,-8.7525
11025,Doonan,Donegal,123,54.65819535,-8.12700977710993
11026,Doorabble,Kincraigy,19,54.9246328,-7.578375598188263
11028,Dooros,Clonleigh South,12,54.823296,-7.546129300314034
11029,Dore,Machaire Chlochair,272,,
11031,Downies,Ros Goill,87,55.195641249999994,-7.856235720927289
11033,Drean,Manorcunningham,11,54.968836749999994,-7.606489321321991
11034,Dreenan,Knock,143,55.168094,-7.4503119
11035,Dresnagh,Urney West,11,54.7835637,-7.58437429969578
11036,Dristernan,Gleneely,255,55.240592899999996,-7.142761479838704
11037,Dromore (ED Ballintra),Ballintra,18,54.571389,-8.155
11038,Dromore (ED Clonleigh North),Clonleigh North,13,54.8632271,-7.501448
11039,Dromore (ED Donegal),Donegal,114,54.8632271,-7.501448
11040,Dromore (ED Gleneely),Gleneely,241,54.7878159,-7.689093695482673
11041,Dromore (ED Magheraboy),Magheraboy,195,54.9438581,-7.6722646
11042,Dromore (ED Tantallon),Tantallon,50,54.637589649999995,-8.224020339400504
11043,Dromore (ED Templedouglas),Templedouglas,38,55.01370475,-7.816158434161703
11044,Dromore Big,Feddyglass,15,54.88954595,-7.562536362606936
11045,Dromore Little,Feddyglass,37,,
11046,Drum (ED Greenfort),Grianfort,24,55.205210300000005,-7.632251909259258
11047,Drum (ED Kilgoly),Cill Ghabhlaigh,13,54.718766849999994,-8.705651482988543
11048,Drumabodan,Kilmacrenan,37,55.042778,-7.738333
11049,Drumacloghan,Glenalla,60,55.076111,-7.638889
11050,Drumacrin,Bundoran Rural/Bundoran Urban,497,54.479390050000006,-8.27267691074939
11051,Drumadart,Inver,12,54.65295125,-8.313840686981797
11052,Drumadoney,Tullynaught,10,54.65970505,-8.033961414190394
11053,Drumadooey,Birdstown,104,55.0591555,-7.3609534255363815
11054,Drumaghy (ED Glengesh),Gleann Gheis,91,54.75999525,-8.425299228225523
11055,Drumaghy (ED Tieveskeelta),Tieveskeelta,26,54.66438985,-8.399143548076317
11056,Drumagraa,An Bhinn Bhán,11,54.697950649999996,-8.217859595091202
11057,Drumalough or Lough Hill,Gleann Gheis,10,,
11058,Drumanaught,Killymasny,96,54.9197286,-7.8273177
11059,Drumaneany,Gleann Léithín,16,54.8897436,-8.178169948747112
11060,Drumaneary,Tantallon,13,54.62463415,-8.233433168019081
11061,Drumaneel,Ballintra,33,54.593171850000004,-8.112489641793696
11062,Drumanoo,Killybegs,40,54.611389,-8.4675
11064,Drumany (ED Magheraboy),Magheraboy,181,54.93598025,-7.687367380235854
11065,Drumard,Eanymore,66,55.0830029,-7.7528132
11066,Drumardagh,Magheraboy,161,54.955276,-7.651538536549861
11067,Drumark,Donegal,115,54.655659400000005,-8.142118468980502
11068,Drumatoland,Treantaghmucklagh,66,54.91727125,-7.552733699562635
11069,Drumatrumman,An Cheathrú Chaol,17,55.12733535,-7.634926033361649
11070,Drumatumpher,Bonnyglen,68,54.6637391,-8.24890558143483
11071,Drumaville (ED Culdaff),Culdaff,175,55.278333,-7.236944
11072,Drumaville (ED Turmone),Turmone,10,55.2675,-7.081667
11073,Drumavish,Gleneely,21,54.7834598,-7.735005264512244
11074,Drumavohy (ED Malin),Malin,18,,
11076,Drumawark,Pettigoe,18,54.57991455,-7.813425860084561
11077,Drumaweer,Moville,430,55.213964700000005,-7.010556005202005
11079,Drumbane,Urney West,39,55.0938823,-7.2505955
11080,Drumbar,Donegal,36,54.643889,-8.063611
11081,Drumbaran (ED Ardara),Ard an Rátha,123,54.7604631,-8.414202049929477
11082,Drumbaran (ED Eanymore),Eanymore,68,54.675330599999995,-8.221841625581693
11083,Drumbarity,Killybegs,11,54.6464373,-8.445559180772314
11084,Drumbarnet,Killea,21,54.9801298,-7.561617
11085,Drumbarnet Lower,Newtown Cunningham,7,54.9804197,-7.561356860336618
11086,Drumbarnet Middle,Newtown Cunningham,20,54.97186605,-7.571878827129119
