,townland,town,population,lat,lng
88,Arduns,Machaire Chlochair,50.0,55.0302961,-8.21340000072492
89,Ardvally,Maol Mosóg,12.0,54.7398068,-8.3806388
90,Ardvarnock Glebe,Figart,19.0,54.87253245,-7.647971871900389
91,Arlands,Inis Mhic an Doirn,75.0,55.00309915,-8.4344187863665
92,Arryheernabin,Fánaid Thuaidh,13.0,55.27,-7.640556
93,Altashane or Cabadooey,Carndonagh,63.0,55.2627826,-7.3316796
94,Attatantee,Machaire Chlochair,7.0,55.07810010000001,-8.216983441749054
95,Aughagault Big,Convoy,64.0,54.86503470000001,-7.734684700000001
96,Aughnish,Rathmelton,138.0,55.03915309999999,-7.608063878143477
97,Aught,Three Trees,233.0,55.12393825,-7.277726919168671
98,Avaltygort,Gleneely,51.0,54.7837007,-7.686292273656484
99,Backland,Clonleigh South,6.0,54.832466700000005,-7.549732021240988
100,Backlees,Stranorlar,17.0,54.8045069,-7.769133
101,Ballagh,Malin,35.0,55.3171588,-7.281846626618396
102,Ballaghderg,Gortnavern,464.0,54.9855855,-7.7252095
103,Ballard,Cill Ghabhlaigh,20.0,54.807369200000004,-7.965275699999999
104,Balleeghan (ED Greencastle),Greencastle,112.0,55.2247493,-6.981413405596781
105,Balleeghan (ED Manorcunningham),Manorcunningham,61.0,54.9798794,-7.5984575043858
106,Balleeghan Lower,Carthage,70.0,55.29885425,-7.223633134184843
107,Balleeghan Upper,Carthage,92.0,55.3003147,-7.2360022062214115
108,Balleelaghan,Malin,40.0,55.31328875,-7.273294821595838
109,Ballina,Rosnakill,18.0,55.19477325,-7.692013784202465
110,Ballincrick and Ballynabrocky,Fánaid Thuaidh,59.0,55.25807945,-7.664208628002554
111,Ballindrait,Clonleigh North,77.0,54.844167000000006,-7.525833
112,Ballinlough,Mintiaghs,43.0,55.21244265,-7.368011689951099
113,Ballintemple,Na Croisbhealaí,93.0,55.122074899999994,-8.092961194096645
114,Ballintlieve,Mintiaghs,45.0,55.22178085,-7.396891338477976
