,townland,town,population
10915,Cross (ED Whitecastle),Whitecastle,28
10916,Crossconnell,Dunaff,51
10917,Crossogs,Killymasny,19
10919,Crovehy,Cró Bheithe,57
10920,Crowanrudda,Cró Chaorach,8
10924,Croweighter,Cró Chaorach,19
10925,Crowkeeragh,Cró Chaorach,8
10926,Crowlar,Cró Chaorach,18
10927,Crownasillagh,An Leargaidh Mhór,8
10928,Cruickaghmore,Inis Mhic an Doirn,66
10929,Cruit Lower,Inis Mhic an Doirn,10
10930,Cruit Upper,Inis Mhic an Doirn,50
10931,Crumlin (ED Glengesh),Gleann Gheis,39
10933,Cuilly,Tullynaught,21
10934,Culdaff,Culdaff,85
10935,Culdaff Glebe,Culdaff,13
10936,Culineen,Redcastle,90
10938,Cullion (ED Corravaddy),Corravaddy,80
10940,Cullion (ED Lettermacaward),Leitir Mhic an Bhaird,19
10942,Cullionboy,Clogher,53
10943,Culoort,Ardmalin,62
10945,Cunlin,Killybegs,21
10946,Curragh,Corravaddy,22
10947,Curraghafeaghan,Tieveskeelta,15
10948,Curraghalane,Clonleigh South,251
10950,Curraghlea,Gortnavern,66
10951,Curraghomongan,Stranorlar,198
10952,Currin,An Tearmann,84
10953,Currynanerriagh,Gleann Léithín,30
10954,Cuskry Glebe,Cill Charthaigh,12
10955,Cuttymanhill,St. Johnstown,13
10958,Dargan,Grianfort,8
10959,Darney,Dunkineely,77
10961,Deenystown,Castlewray,40
10962,Deer Park West,Castleforward,12
10964,Demesne,Cloghard,43
10968,Dernacally,Killea,11
10969,Derries (ED Cavangarden),Cavangarden,58
10970,Derries (ED Glenties),Na Gleannta,76
10971,Derriscligh,An Tearmann,35
10972,Derrora,Templedouglas,74
10973,Derryart,Ards,26
10975,Derrybeg (ED Magheraclogher),Machaire Chlochair,118
10976,Derrycassan,Ros Goill,45
10977,Derryconor,Gort an Choirce,161
10978,Derrydruel Lower,An Machaire,5
10979,Derrydruel Upper,An Machaire,33
10980,Derryfad,Caisleán na dTuath,6
10981,Derryharriff Glebe,An Craoslach,38
10982,Derryhirk,Bonnyglen,6
10983,Derrykillew,Cliff,28
10985,Derrylahan (ED Kilcar),Cill Charthaigh,98
10986,Derryleconnell Far,Leitir Mhic an Bhaird,24
10987,Derryleconnell Near,Leitir Mhic an Bhaird,27
10990,Derrynacarrow,An Dúchoraidh,58
10992,Derrynagrial,An Dúchoraidh,6
10993,Derrynamansher,Anagaire,35
10994,Derrynanaspol,An Dúchoraidh,10
10995,Derryness,Dawros,23
10996,Derryreel,Na Croisbhealaí,137
10997,Derryvane,Kilderry,98
10999,Devlin or Barr of Ballyconnell,Na Croisbhealaí,10
11000,Devlinmore,Creamhghort,50
11001,Devlinreagh,Creamhghort,81
11004,Doagh,Ros Goill,19
11005,Doagh Beg,Fánaid Thuaidh,55
11006,Doagh More,Fánaid Thiar,31
11007,Doaghcrabbin,Fánaid Thuaidh,12
11008,Donaghmore Glebe,Castlefinn,16
11009,Donegal,Donegal,473
11010,Dooballagh,Magheraboy,84
11011,Doobally,Ballyshannon Rural,11
11014,Doocashel Glebe,Ards,44
11015,Doochill North,Ard an Rátha,51
11017,Dooey (ED Kilgoly),Cill Ghabhlaigh,14
11018,Dooey (ED Lettermacaward),Leitir Mhic an Bhaird,68
11019,Dooghan,Castlefinn,14
11020,Dooish (ED Dooish),Dooish,234
11021,Dooish (ED Treantamucklagh),Treantaghmucklagh,51
11022,Doon,An Tearmann,39
11023,Doon Glebe,Ballymacool,186
11024,Doonalt,Cill Ghabhlaigh,27
11025,Doonan,Donegal,123
11026,Doorabble,Kincraigy,19
11028,Dooros,Clonleigh South,12
11029,Dore,Machaire Chlochair,272
11031,Downies,Ros Goill,87
11033,Drean,Manorcunningham,11
11034,Dreenan,Knock,143
11035,Dresnagh,Urney West,11
11036,Dristernan,Gleneely,255
11037,Dromore (ED Ballintra),Ballintra,18
11038,Dromore (ED Clonleigh North),Clonleigh North,13
11039,Dromore (ED Donegal),Donegal,114
11040,Dromore (ED Gleneely),Gleneely,241
11041,Dromore (ED Magheraboy),Magheraboy,195
11042,Dromore (ED Tantallon),Tantallon,50
11043,Dromore (ED Templedouglas),Templedouglas,38
11044,Dromore Big,Feddyglass,15
11045,Dromore Little,Feddyglass,37
11046,Drum (ED Greenfort),Grianfort,24
11047,Drum (ED Kilgoly),Cill Ghabhlaigh,13
11048,Drumabodan,Kilmacrenan,37
11049,Drumacloghan,Glenalla,60
11050,Drumacrin,Bundoran Rural/Bundoran Urban,497
11051,Drumadart,Inver,12
11052,Drumadoney,Tullynaught,10
11053,Drumadooey,Birdstown,104
11054,Drumaghy (ED Glengesh),Gleann Gheis,91
11055,Drumaghy (ED Tieveskeelta),Tieveskeelta,26
11056,Drumagraa,An Bhinn Bhán,11
11057,Drumalough or Lough Hill,Gleann Gheis,10
11058,Drumanaught,Killymasny,96
11059,Drumaneany,Gleann Léithín,16
11060,Drumaneary,Tantallon,13
11061,Drumaneel,Ballintra,33
11062,Drumanoo,Killybegs,40
11064,Drumany (ED Magheraboy),Magheraboy,181
11065,Drumard,Eanymore,66
11066,Drumardagh,Magheraboy,161
11067,Drumark,Donegal,115
11068,Drumatoland,Treantaghmucklagh,66
11069,Drumatrumman,An Cheathrú Chaol,17
11070,Drumatumpher,Bonnyglen,68
11071,Drumaville (ED Culdaff),Culdaff,175
11072,Drumaville (ED Turmone),Turmone,10
11073,Drumavish,Gleneely,21
11074,Drumavohy (ED Malin),Malin,18
11076,Drumawark,Pettigoe,18
11077,Drumaweer,Moville,430
11079,Drumbane,Urney West,39
11080,Drumbar,Donegal,36
11081,Drumbaran (ED Ardara),Ard an Rátha,123
11082,Drumbaran (ED Eanymore),Eanymore,68
11083,Drumbarity,Killybegs,11
11084,Drumbarnet,Killea,21
11085,Drumbarnet Lower,Newtown Cunningham,7
11086,Drumbarnet Middle,Newtown Cunningham,20
11087,Drumbarnet Upper,Newtown Cunningham,48
11089,Drumbeagh (ED Killybegs),Killybegs,82
11090,Drumbeagh (ED Tantallon),Tantallon,60
11091,Drumbeg (ED Feddyglass),Feddyglass,13
11092,Drumbern,Millford,225
11093,Drumboarty,Eanymore,20
11094,Drumboe Lower,Stranorlar,437
11095,Drumboe Upper,Stranorlar,22
11096,Drumboghill,Dawros,12
11097,Drumbologe,Templedouglas,12
11098,Drumboy (ED Clonleigh South),Clonleigh South,426
11099,Drumboy (ED Newtown Cunningham),Newtown Cunningham,7
11100,Drumbrick,Kilmacrenan,38
11101,Drumbristan Glebe,Ballintra,14
11102,Drumcannon,Gleneely,33
11103,Drumcarbit,Malin,248
11104,Drumcarn,Kincraigy,47
11105,Drumcavany,Templedouglas,75
11106,Drumchory Glebe,Ballintra,7
11108,Drumcliff,Donegal,74
11109,Drumcoe,Tantallon,64
11111,Drumconor,Tantallon,74
11112,Drumcroagh,Tullynaught,11
11113,Drumcrow,Feddyglass,17
11114,Drumderrydonan,Allt na Péiste,29
11115,Drumdeevin,An Tearmann,31
11116,Drumdoit,Urney West,87
11117,Drumduff,Bonnyglen,36
11118,Drumdutton,Glen,6
11119,Drumearn,St. Johnstown,23
11121,Drumenan (ED Killymasny),Killymasny,84
11122,Drumenan (ED St. Johnstown),St. Johnstown,60
11124,Drumfad (ED Feddyglass),Feddyglass,16
11127,Drumfergus,Gleneely,68
11128,Drumfin (ED Inver),Inver,17
11129,Drumgorman (ED Tantallon),Tantallon,42
11130,Drumgorman Barr,Tantallon,19
11131,Drumgornan,Donegal,32
11132,Drumgowan,Donegal,53
11133,Drumgreggan,Magheraboy,38
11134,Drumgumberland,Convoy,47
11137,Drumhaggart,Birdstown,134
11138,Drumhallagh Lower,Killygarvan,20
11139,Drumhallagh Upper,Killygarvan,31
11140,Drumharriff,Pettigoe,45
11141,Drumherrive,Glenalla,60
11142,Drumhome,Ballintra,15
11143,Druminardagh,Tullynaught,24
11145,Druminderry Upper and Lower,Illies,19
11146,Drumineney,Raphoe,10
11148,Druminnin,Clogher,136
11149,Drumirrin,Gleann Gheis,13
11150,Drumkeeghan,Donegal,12
11151,Drumkeelan,Tantallon,35
11152,Drumkeen,Convoy,282
11153,Drumlackagh,Glen,19
11154,Drumlaghdrid,An Machaire,74
11155,Drumlaght,Donegal,24
11156,Drumlaghtafin,Inver,24
11157,Drumlask,Tullynaught,33
11158,Drumleavalliagh,An Craoslach,7
11159,Drumlee,Gleneely,27
11160,Drumleene,Clonleigh North,91
11161,Drumlonagher,Donegal,121
11163,Drumlougher,Castleforward,25
11164,Drumlurgagh,An Tearmann,25
11166,Drummacacullen,Bonnyglen,18
11167,Drummacaladdery,Creamhghort,11
11168,Drummacanoo,Templedouglas,108
11169,Drumman,Ballyarr,6
11170,Drummanus Glebe,Ballintra,11
11171,Drummay,Castleforward,20
11173,Drummeenanagh (ED Lough Eask),Loch Iascaigh,24
11174,Drummenny Lower,Tullynaught,46
11175,Drummenny Middle,Tullynaught,9
11176,Drummenny Upper,Tullynaught,10
11177,Drummucklagh,Feddyglass,40
11178,Drummurphy,Cloghard,9
11180,Drumnacarry (ED Bonnyglen),Bonnyglen,12
11181,Drumnacarry (ED Creeslough),An Craoslach,18
11182,Drumnacarry (ED Lough Eask),Loch Iascaigh,10
11184,Drumnacart Mountain Pasture,Anagaire,40
11185,Drumnacraig,Fánaid Thuaidh,11
11186,Drumnacroil,Ballintra,23
11187,Drumnacross (ED Lettermore),Lettermore,12
11188,Drumnacross (ED Ardara),Ard an Rátha,35
11189,Drumnafinnagle,An Leargaidh Mhór,46
11190,Drumnagahan,Clogher,12
11191,Drumnagroagh,Carrickboy,18
11192,Drumnaha (ED Clonleigh South),Clonleigh South,20
11193,Drumnaha (ED Glenleheen),Gleann Léithín,7
11194,Drumnaha (ED Urney West),Urney West,13
11195,Drumnaheark East,Eanymore,17
11196,Drumnaheark West,Eanymore,7
11197,Drumnahoagh,Letterkenny Rural,167
11198,Drumnahough,Mín Charraigeach,12
11199,Drumnahoul,Tullynaught,9
11201,Drumnakilly,Inver,46
11204,Drumnalost,Eanymore,16
11206,Drumnaraw,An Craoslach,46
11210,Drumnasillagh,Na Gleannta,336
11213,Drumnaskea (ED Castlewray),Castlewray,62
11215,Drumnatinny,Na Croisbhealaí,52
11218,Drumoghill (ED Kincraigy),Kincraigy,89
11219,Drumoghill (ED Termon),An Tearmann,23
11222,Drumrat,Donegal,41
11223,Drumreagh,Cill Charthaigh,20
11224,Drumroe,Cill Ghabhlaigh,44
11225,Drumrone,Eanymore,46
11226,Drumroosk,Donegal,10
11228,Drumroosk Middle,Donegal,324
11229,Drumroosk West,Donegal,497
11230,Drumsallagh,Mín an Lábáin,11
11232,Drumskellan,Three Trees,134
11233,Drumstevlin,Donegal,39
11235,Drung (ED Redcastle),Redcastle,264
11236,Dunaff,Dunaff,139
11237,Dunagard,Ardmalin,29
11238,Dundee,St. Johnstown,250
11239,Dundooan Lower,Ros Goill,51
11240,Dundooan Upper,Ros Goill,22
11241,Dundrean,Birdstown,133
11243,Dunduffsfort,Newtown Cunningham,31
11244,Dunfanaghy,Dún Fionnachaidh,168
11245,Dunglow,An Clochán Liath,692
11246,Dungorman,Cloghard,46
11247,Dunkineely,Dunkineely,156
11249,Dunlewy Near,Dún Lúiche,17
11250,Dunmore (ED Annagary),Anagaire,32
11251,Dunmore (ED Carrickart),Carraig Airt,76
11252,Dunmore (ED Carrowkeel),An Cheathrú Chaol,13
11253,Dunmore (ED Cross Roads),Na Croisbhealaí,127
11254,Dunmore (ED Killea),Killea,243
11255,Dunmuckrum,Bundoran Rural/Ballyshannon Urban,116
11256,Dunnaloob,Urney West,36
11257,Dunree,Desertegny,38
11258,Dunross,Culdaff,146
11259,Duntinny,Grianfort,10
11260,Dunwiley,Stranorlar,101
11261,Durnesh,Ballintra,13
11262,Eddrim Glebe,Donegal,52
11263,Eden,Dawros,18
11265,Edenacarnan South,Edenacarnan,14
11266,Edenagor,Carrickboy,21
11267,Edenamoghil,Gleneely,50
11268,Edenamuck,Eanymore,12
11269,Edenfinfreagh,An Ghrafaidh,8
11270,Edenmore (ED Clonleigh North),Clonleigh North,38
11271,Edenmore (ED Gleneely),Gleneely,68
11272,Edergole (ED Glengesh),Gleann Gheis,71
11273,Edergole (ED Lough Eask),Loch Iascaigh,5
11277,Eighterross,Castlewray,20
11278,Elaghbeg,Birdstown,178
11279,Eleven Ballyboes,Greencastle,331
11280,Ellistrin Big,Gortnavern,25
11281,Ellistrin Little,Gortnavern,27
11282,Elly,Killygarvan,12
11283,Errarooey Beg,Dún Fionnachaidh,23
11284,Errarooey More,Dún Fionnachaidh,40
11285,Errity,Manorcunningham,18
11286,Errity Churchland,Manorcunningham,65
11287,Eskaheen,Kilderry,202
11288,Evishbreedy,Illies,11
11290,Faiafannan,Killybegs,26
11291,Falbane,Mín an Lábáin,29
11292,Falcarragh,Na Croisbhealaí,118
11293,Falchorrib,An Machaire,45
11295,Fallagowan (Aran Island),Árainn Mhór,38
11297,Fallard or Calhame,Gortnavern,115
11298,Fallask,Illies,44
11300,Fanaghans,Inver,92
11301,Fanavolty,Fánaid Thuaidh,11
11302,Farnagh,Rathmelton,28
11304,Farragans (ED Lettermacaward),Leitir Mhic an Bhaird,32
11305,Farranmacbride,Cill Ghabhlaigh,5
11307,Faugher,Cill Ghabhlaigh,14
11309,Fawans,An Tearmann,24
11310,Fawnaboy,Gort an Choirce,129
11311,Fawninoughan,Glenalla,41
11312,Fawnmore,Dún Fionnachaidh,34
11313,Faymore,An Craoslach,45
11315,Feddyglass,Feddyglass,22
11316,Fegart,Ballyliffin,61
11317,Figart (ED Dunfanaghy),Dún Fionnachaidh,50
11318,Figart (ED Figart),Figart,42
11319,Figary,Fahan,190
11320,Fincashel,Pettigoe,10
11321,Findrum,Convoy,33
11322,Finnabanes,Clogher,95
11323,Finnadoos,Tullynaught,51
11324,Finnadork Glebe,Convoy,16
11325,Finner,Bundoran Rural/Bundoran Urban,528
11326,Fintown,Baile na Finne,88
11327,Fintragh,Crownarad,275
11329,Flemingstown,Figart,7
11331,Foffanagh,Illies,69
11332,Forquar,Millford,343
11333,Fortstewart,Rathmelton,12
11334,Foxhall,Templedouglas,24
11335,Foyagh,Ballintra,16
11336,Foyfin,Urney West,25
11337,Fraugher,Ards,65
11338,Freehold,Gleneely,16
11340,Friary,Loch Iascaigh,88
11341,Fycorranagh,Corravaddy,40
11342,Gaddyduff,Straid,222
11343,Galdonagh,Treantaghmucklagh,146
11344,Galdonagh Glebe,Treantaghmucklagh,63
11345,Galwolie (ED Cloghan),An Clochán,26
11346,Galwolie (ED Lettermacaward),Leitir Mhic an Bhaird,47
11347,Gannew and Curreen,Málainn Bhig,50
11348,Gargrim,Eanymore,38
11349,Garrisonhill,Gleneely,24
11350,Garrowcarry,Edenacarnan,95
11352,Garrygort,Millford,18
11353,Garrymore,Millford,10
11354,Garshooey,Killea,59
11356,Garvagh,Tawnawully,29
11357,Garvan,An Clochán,35
11358,Garvanagh,Cavangarden,50
11359,Garvary (ED Birdstown),Birdstown,165
11362,Garvegort Glebe,Ard an Rátha,30
11363,Garveross,Cill Ghabhlaigh,11
11364,Gilbertstown,Dunkineely,24
11365,Gillystown,St. Johnstown,22
11366,Glack,Críoch na Sméar,23
11367,Glack or Bohullion,Inch Island,28
11368,Glackadrumman,Culdaff,30
11370,Glasalt or Treanfasy,Carndonagh,83
11371,Glasbolie,Ballintra,78
11372,Glashagh,Mín an Chladaigh,202
11373,Glashagh Beg,An Clochán,15
11374,Glashagh More,An Clochán,19
11375,Glashbeggan,Inis Mhic an Doirn,47
11377,Glaskeeragh,Templecarn,7
11378,Glasly,Convoy,68
11379,Glasmullan (ED Killea),Killea,13
11380,Glasmullan (ED Mintiaghs),Mintiaghs,57
11382,Glassan,Críoch na Sméar,11
11383,Glasserchoo,Gort an Choirce,154
11384,Glebe (ED Carndonagh),Carndonagh,54
11386,Glebe (ED Castlewray),Castlewray,604
11388,Glebe (ED Clonleigh North),Clonleigh North,18
11389,Glebe (ED Cross Roads),Na Croisbhealaí,12
11390,Glebe (ED Desertegny),Desertegny,36
11391,Glebe (ED Donegal),Donegal,245
11392,Glebe (ED Fahan),Fahan,9
11395,Glebe (ED Killybegs),Killybegs,70
11400,Glebe (ED Rosguill),Ros Goill,24
11401,Glebe (ED Stranorlar),Stranorlar,205
11404,Glebe Large,Fahan,18
11406,Glen,Tantallon,20
11407,Glen Lower,Rathmelton,39
11410,Glenalla,Glenalla,79
11413,Glencar Irish,Letterkenny Rural,1008
11414,Glencar Scotch,Letterkenny Rural,1921
11415,Glencash,Clonleigh North,59
11416,Glencaw,Whitecastle,14
11417,Glencoagh,Tantallon,136
11418,Glencovet,Knock,90
11419,Glencross,Rathmullan,24
11420,Glencrow,Castlecary,150
11422,Gleneely,Gleneely,32
11423,Glenfad,Clonleigh North,49
11424,Glengad,Carthage,543
11425,Glengesh,Gleann Gheis,62
11426,Glengillagrana High,Glen,55
11427,Glenieraragh,Glen,54
11429,Glenkeen,Millford,24
11430,Glenkeeragh,Templedouglas,72
11431,Glenkeeran,Magheraboy,13
11432,Glenkeo (ED Carrickart),Carraig Airt,30
11433,Glenkeo (ED Edenacarnan),Edenacarnan,27
11434,Glenleary,Rathmelton,99
11435,Glenlee,Killybegs,11
11437,Glenmacannive,Na Gleannta,17
11438,Glenmakee,Carndonagh,152
11439,Glenmaquin Upper,Kincraigy,30
11440,Glenmaquin Lower,Kincraigy,146
11441,Glenmenagh,Glen,29
11442,Glennagiveny,Greencastle,24
11443,Glennahilt,Inis Mhic an Doirn,14
11446,Glenree,Carraig Airt,30
11448,Glentidaly,Glenalla,11
11449,Glentidaly Glebe,Glenalla,25
11452,Glentown,Treantaghmucklagh,18
11453,Glinsk,Fánaid Thiar,48
11454,Gobnascale,Convoy,8
11455,Gola,Machaire Chlochair,5
11456,Goladoo,Tawnawully,18
11457,Golan,Millford,41
11458,Goland,Goland,121
11459,Golard,Laghy,23
11460,Goldrum,Loch Caol,39
11461,Goorey,Malin,7
11464,Gort (ED Straid),Straid,4
11465,Gort Glebe,Raphoe,22
11471,Gortahork (ED Gleneely),Gleneely,48
11472,Gortahork (ED Gortahork),Gort an Choirce,109
11473,Gortalaban,Edenacarnan,22
11474,Gortalia,An Leargaidh Mhór,8
11475,Gortanny,Whitecastle,77
11476,Gortaquigley,Raphoe,17
11477,Gortaward,Tantallon,18
11478,Gortaway,Rathmelton,26
11479,Gortcally,An Cheathrú Chaol,53
11480,Gortcormacan,Birdstown,29
11484,Gortgarra (Aran Island),Árainn Mhór,44
11486,Gortin,Ballyarr,35
11487,Gortin North,Clonleigh North,81
11488,Gortin South,Clonleigh South,6
11489,Gortiness,Allt na Péiste,32
11491,Gortinlieve,Killea,16
11492,Gortinreagh,Clonleigh North,37
11494,Gortleck,Desertegny,90
11495,Gortlee,Letterkenny Rural,565
11496,Gortletteragh,Stranorlar,12
11497,Gortlosky,Donegal,62
11499,Gortlush,Castleforward,23
11500,Gortmacall Beg,Millford,100
11501,Gortmacall More,Millford,32
11502,Gortnabrade,Carraig Airt,108
11503,Gortnacart Glebe,Ard an Rátha,18
11504,Gortnacor,Grianfort,32
11505,Gortnacorrib,Edenacarnan,72
11507,Gortnagrace,Urney West,21
11509,Gortnaleck,Críoch na Sméar,63
11510,Gortnalughoge,Ros Goill,9
11512,Gortnamuck,Cloghard,36
11513,Gortnamucklagh,Na Gleannta,440
11514,Gortnasate,Anagaire,24
11515,Gortnasillagh,Na Gleannta,41
11516,Gortnaskea,Birdstown,103
11517,Gortnaskeagh,Kilmacrenan,53
11518,Gortnatraw North,Fánaid Thiar,20
11519,Gortnatraw South,An Cheathrú Chaol,184
11520,Gortnavern (ED Gortnavern),Gortnavern,110
11521,Gortnavern (ED Millford),Millford,11
11524,Gortree,Castleforward,98
11525,Gortyarrigan,Desertegny,75
11528,Grahamsland,Castlefinn,326
11529,Grahamstown,Ballintra,11
11530,Grange (ED Burt),Burt,8
11531,Grange (ED Inch Island),Inch Island,120
11532,Gransha,Buncrana Rural,110
11533,Grawky,Manorcunningham,10
11535,Greaghs,Laghy,43
11536,Greenan,Loch Iascaigh,24
11537,Greenans,An Ghrafaidh,6
11538,Greenfield,Convoy,105
11539,Greenfort Demesne,Grianfort,10
11540,Greenhill (ED Castlewray),Castlewray,64
11541,Greenhill (ED Dunfanaghy),Dún Fionnachaidh,25
11542,Greenhills,Stranorlar,27
11543,Grogagh,An Craoslach,31
11544,Grousehall,Grousehall,37
11545,Grovehall or Newtowngrove,Ballyarr,33
11546,Gulladoo,Moville,361
11547,Guystown,Clonleigh North,22
11549,Halftown,Urney West,28
11550,Hall Demesne,Tantallon,184
11551,Haugh,Haugh,14
11552,Haw (ED Clonleigh South),Clonleigh South,32
11553,Haw (ED Killea),Killea,64
11554,Heneys,Haugh,73
11557,Hollands,Clonleigh North,11
11560,Illies,Illies,100
11561,Illion (Aran Island),Árainn Mhór,33
11562,Imlick,Killea,6
11563,Inch Level (ED Burt),Burt,12
11571,Inishfad,Ballintra,9
11580,Inniskil (ED Church Hill),Mín an Lábáin,10
11581,Inver Glebe,Inver,96
11582,Ironworks,Stranorlar,9
11584,Island Roy,Ros Goill,12
11586,Keadew,Inis Mhic an Doirn,235
11587,Keadew Upper,Clogher,17
11588,Keadew Lower,Clogher,15
11589,Keeldrum,Clogher,19
11590,Keeldrum Lower,Gort an Choirce,57
11591,Keeldrum Upper,Gort an Choirce,87
11592,Keeloges (ED Church Hill),Mín an Lábáin,77
11594,Keeloges (ED Inver),Inver,56
11595,Keenagh,Ardmalin,25
11596,Keenaghan (ED Edenacarnan),Edenacarnan,127
11597,Keenaghan (ED Kilcar),Cill Charthaigh,122
11601,Keshends,Castleforward,35
11602,Kilaned,Cill Ghabhlaigh,21
11603,Kilbarron,Ballyshannon Rural,116
11604,Kilbeg,Cill Charthaigh,77
11605,Kilcaddan,Gleneely,18
11606,Kilcar,Cill Charthaigh,57
11607,Kilcasey,Cill Charthaigh,63
11609,Kilclooney Beg,Dawros,60
11610,Kilclooney More,Dawros,37
11611,Kilconnell or Glebe,Kilmacrenan,88
11612,Kilcreen,Rathmelton,44
11613,Kildarragh,Críoch na Sméar,54
11614,Kildoney Glebe,Ballyshannon Rural,86
11615,Kildrum Lower,Killea,49
11616,Kildrum Upper,Killea,163
11617,Kilgole,Ballintra,9
11620,Kilkenny,Maas,14
11621,Kill (ED Carrickart),Carraig Airt,49
11622,Kill (ED Dunfanaghy),Dún Fionnachaidh,162
11623,Kill (ED Largymore),An Leargaidh Mhór,35
11624,Killaghtee,Dunkineely,16
11625,Killindarragh,Anagaire,30
11627,Killavee,Grianfort,11
11628,Killeen,Carrickboy,31
11629,Killin (ED Bonnyglen),Bonnyglen,30
11630,Killin (ED Malin),Malin,12
11631,Killinangel Beg,Ballintra,22
11632,Killinangel More,Ballintra,22
11633,Killoughcarran,Caisleán na dTuath,36
11634,Killult,Na Croisbhealaí,186
11635,Killultan,Dunkineely,7
11636,Killybegs,Killybegs,555
11637,Killyclug,Edenacarnan,466
11639,Killydesert,Edenacarnan,23
11640,Killydonnell,Rathmelton,33
11642,Killygarvan Upper,Rathmullan,6
11643,Killygordon,Killygordon,434
11644,Killylastin,Edenacarnan,413
11645,Killymasny,Killymasny,82
11646,Killynure or Wilson'sfort,Convoy,127
11647,Killyverry,Newtown Cunningham,82
11648,Kilmackilloo,Críoch na Sméar,59
11649,Kilmacreddan,Inver,60
11650,Kilmacrenan,Kilmacrenan,535
11651,Kilmonaster Lower,Clonleigh South,15
11652,Kilmonaster Middle,Clonleigh South,20
11653,Kilmore,Gartán,26
11655,Kilpheak,Killymasny,48
11656,Kilrean,An Clochán,23
11657,Kilrean Lower,Ard an Rátha,14
11658,Kilrean Upper,Ard an Rátha,136
11659,Kilross,Stranorlar,19
11660,Kiltole,Figart,461
11662,Kiltown,Killygordon,10
11663,Kiltoy,Castlewray,101
11665,Kiltyfergal,An Clochán,63
11667,Kimmid,Pettigoe,19
11668,Kincaslough,Inis Mhic an Doirn,37
11669,Kincraigy,Kincraigy,49
11671,Kindroghed,Gleneely,16
11673,Kingarrow,Baile na Finne,26
11674,Kinletter,Knock,66
11676,Kinnacally,St. Johnstown,31
11677,Kinnaderry,An Clochán,31
11678,Kinnagoe,Illies,91
11679,Kinnakillew,Cill Ghabhlaigh,33
11680,Kinnalargy,Ros Goill,73
11681,Kinnalough,Fánaid Thuaidh,21
11682,Kinnea,Dunaff,100
11684,Kinnoghty,Gleann Gheis,44
11686,Kirkneedy,Killymasny,27
11687,Kirkstown,Ballymacool,103
11688,Knader,Ballyshannon Rural,83
11689,Knock (ED Culdaff),Culdaff,15
11690,Knock (ED Knock),Knock,160
11691,Knockagar,Eanymore,30
11692,Knockagarran,Convoy,65
11693,Knockamany,Ardmalin,10
11694,Knockastoller,Machaire Chlochair,273
11696,Knockbrack (ED Carrowkeel),An Cheathrú Chaol,25
11697,Knockbrack (ED Magheraboy),Magheraboy,135
11699,Knockergrana,Culdaff,8
11700,Knockfair,Stranorlar,20
11701,Knockfola,Mín an Chladaigh,182
11702,Knockglass,Ardmalin,6
11703,Knocknabollan,Kilmacrenan,41
11704,Knocknafaugher,Ards,17
11705,Knocknahorna,Inver,41
11706,Knocknamona,Letterkenny Rural,353
11707,Knocknashangan,Carrickboy,12
11708,Knockrawer,Castlefinn,16
11709,Knockybrin,Castlewray,49
11710,Labbadish,Kincraigy,77
11712,Lackagh,Dawros,43
11715,Lackcrom,Haugh,13
11716,Lacklea,An Ghrafaidh,14
11717,Lacklom,Ballintra,14
11718,Lacknacoo,Gartán,20
11719,Laconnell,Inis Caoil,35
11721,Laddan,Fánaid Thiar,16
11723,Lagacurry,Ballyliffin,59
11725,Laghy,Laghy,82
11728,Laheen,Cavangarden,30
11729,Lane Head,Castlewray,33
11730,Laraghirril,Culdaff,40
11731,Larganreagh,Ros Goill,124
11734,Largnalarkan,Baile na Finne,11
11735,Largnalore,An Clochán,22
11736,Largybrack,Inis Caoil,8
11737,Largymore,An Leargaidh Mhór,11
11738,Largynagreana,Killybegs,9
11739,Largysillagh,Crownarad,75
11740,Leabgarrow (Aran Island),Árainn Mhór,115
11741,Leabrannagh (Aran Island),Árainn Mhór,23
11743,Leaght,Killygordon,79
11744,Leamacrossan,Whitecastle,25
11745,Leamagowra,Inis Caoil,3
11746,Leat Beg,Fánaid Thiar,25
11748,Leckbeg,Inis Mhic an Doirn,21
11749,Leckenagh,Inis Mhic an Doirn,145
11750,Lederg,Desertegny,17
11751,Lefinn,Inis Mhic an Doirn,36
11752,Legacurry,Tullynaught,8
11754,Legaltan,Ballyshannon Rural,31
11755,Legboy,Grianfort,8
11756,Leggandorragh,Clonleigh South,8
11757,Leghawny,Tullynaught,89
11758,Legland (ED Killygarvan),Killygarvan,5
11759,Legland (ED Lettermore),Lettermore,20
11760,Legmuckduff,Glenalla,36
11761,Legnabraid or Cunninghamstown,Clonleigh South,21
11763,Legnahoory,Edenacarnan,111
11765,Legnanornoge,Ballintra,25
11766,Legnatraw,St. Johnstown,55
11768,Lehardan,Cnoc Colbha,60
11769,Leitrim (ED Castleforward),Castleforward,16
11770,Leitrim (ED Turmone),Turmone,60
11772,Lenan,Dunaff,102
11773,Lergadaghtan (ED Glencolumbkille),Gleann Cholm Cille,32
11774,Lergadaghtan (ED Largymore),An Leargaidh Mhór,8
11777,Lergynasearhagh,Inis Caoil,10
11778,Letter (ED Dunaff),Dunaff,115
11779,Letter (ED Fahan),Fahan,33
11781,Letter (ED Kilmacrenan),Kilmacrenan,129
11782,Letter (ED Largymore),An Leargaidh Mhór,41
11783,Letterbarra,Eanymore,61
11784,Letterbrick,An Clochán,82
11785,Lettercau,Cró Bheithe,19
11786,Lettercran,Grousehall,9
